Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
"Colón, 60",16,T,3,17,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}","39.470092316192336, -0.3704333693720587",l'Eixample
Fernando el Católico - Erudito Orellana,23,T,1,18,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3861784216967592, 39.471628328748515], ""type"": ""Point""}","39.471628328748515, -0.3861784216967592",Extramurs
Fernando el Católico - Cuenca,24,T,8,10,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}","39.469077319212495, -0.3840274173384119",Extramurs
"Alberique, 18 (Abastos)",25,T,5,18,23,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38861043334080225, 39.46772931656263], ""type"": ""Point""}","39.46772931656263, -0.38861043334080225",Extramurs
San José de Calasanz - Salas Quiroga,26,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3860524260304749, 39.46619531059966], ""type"": ""Point""}","39.46619531059966, -0.3860524260304749",Extramurs
"Barcas, 11",40,T,1,25,26,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}","39.470466319701956, -0.3748243837183276",Ciutat Vella
Blasco Ibañez - Aragón,92,T,0,20,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}","39.47586032883543, -0.35596831583559707",El Pla del Real
Vicent Vidal - Pintor Maella,61,T,16,4,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}","39.46129327599964, -0.34783029886743094",Camins al Grau
Blasco Ibañez - Pintor José Mongrell,99,T,10,11,21,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}","39.47134430635022, -0.3404842660990001",Algiros
"Colón, 44",70,T,1,16,17,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}","39.469213221319464, -0.3716462894107889",l'Eixample
