Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
8040;Politecnico;01/01/2011;Sabado;1;1;2011;44.0;49.0;43.0;18.0;3.0
8045;Pista Silla;01/02/2011;Domingo;1;2;2011;34.0;35.0;48.0;16.0;5.0
8048;Avda. Francia;01/03/2011;Lunes;1;3;2011;;25.0;39.0;20.0;4.0
8058;Politecnico;01/04/2011;Martes;1;4;2011;23.0;40.0;43.0;8.0;4.0
8062;Moli del Sol;01/05/2011;Miercoles;1;5;2011;9.0;40.0;50.0;19.0;5.0
8064;Politecnico;01/05/2011;Miercoles;1;5;2011;14.0;28.0;37.0;16.0;3.0
8070;Politecnico;01/06/2011;Jueves;1;6;2011;11.0;17.0;26.0;27.0;3.0
8072;Avda. Francia;01/07/2011;Viernes;1;7;2011;;11.0;28.0;27.0;4.0
8074;Moli del Sol;01/07/2011;Viernes;1;7;2011;9.0;20.0;33.0;31.0;5.0
8075;Pista Silla;01/07/2011;Viernes;1;7;2011;29.0;21.0;26.0;35.0;3.0
8076;Politecnico;01/07/2011;Viernes;1;7;2011;15.0;21.0;27.0;28.0;3.0
8082;Politecnico;01/08/2011;Sabado;1;8;2011;11.0;25.0;37.0;36.0;3.0
8090;Avda. Francia;01/10/2011;Lunes;1;10;2011;;36.0;40.0;26.0;6.0
8092;Moli del Sol;01/10/2011;Lunes;1;10;2011;7.0;19.0;37.0;29.0;4.0
8094;Politecnico;01/10/2011;Lunes;1;10;2011;15.0;20.0;38.0;22.0;4.0
8100;Politecnico;01/11/2011;Martes;1;11;2011;9.0;9.0;29.0;30.0;3.0
8105;Pista Silla;01/12/2011;Miercoles;1;12;2011;27.0;39.0;44.0;24.0;4.0
8110;Moli del Sol;13/01/2011;Jueves;13;1;2011;12.0;59.0;62.0;10.0;9.0
8117;Pista Silla;14/01/2011;Viernes;14;1;2011;52.0;80.0;58.0;7.0;5.0
8119;Viveros;14/01/2011;Viernes;14;1;2011;35.0;35.0;42.0;6.0;5.0
8122;Moli del Sol;15/01/2011;Sabado;15;1;2011;;32.0;46.0;13.0;4.0
8124;Politecnico;15/01/2011;Sabado;15;1;2011;31.0;39.0;42.0;15.0;4.0
8129;Pista Silla;16/01/2011;Domingo;16;1;2011;61.0;26.0;36.0;20.0;4.0
8131;Viveros;16/01/2011;Domingo;16;1;2011;44.0;13.0;28.0;16.0;5.0
8132;Avda. Francia;17/01/2011;Lunes;17;1;2011;;38.0;40.0;13.0;5.0
8136;Politecnico;17/01/2011;Lunes;17;1;2011;47.0;45.0;48.0;12.0;4.0
8137;Viveros;17/01/2011;Lunes;17;1;2011;61.0;34.0;42.0;12.0;5.0
8143;Viveros;18/01/2011;Martes;18;1;2011;53.0;42.0;50.0;10.0;7.0
8144;Avda. Francia;19/01/2011;Miercoles;19;1;2011;;36.0;42.0;14.0;5.0
8147;Pista Silla;19/01/2011;Miercoles;19;1;2011;71.0;63.0;52.0;13.0;3.0
8148;Politecnico;19/01/2011;Miercoles;19;1;2011;44.0;57.0;55.0;14.0;4.0
8153;Pista Silla;20/01/2011;Jueves;20;1;2011;65.0;73.0;57.0;11.0;3.0
8154;Politecnico;20/01/2011;Jueves;20;1;2011;40.0;49.0;48.0;15.0;4.0
8158;Moli del Sol;21/01/2011;Viernes;21;1;2011;7.0;5.0;33.0;49.0;6.0
8160;Politecnico;21/01/2011;Viernes;21;1;2011;14.0;15.0;28.0;45.0;3.0
8161;Viveros;21/01/2011;Viernes;21;1;2011;21.0;11.0;24.0;43.0;5.0
8168;Avda. Francia;23/01/2011;Domingo;23;1;2011;;6.0;35.0;41.0;3.0
8171;Pista Silla;23/01/2011;Domingo;23;1;2011;26.0;19.0;34.0;43.0;4.0
8180;Avda. Francia;25/01/2011;Martes;25;1;2011;;22.0;44.0;29.0;4.0
8185;Viveros;25/01/2011;Martes;25;1;2011;39.0;;;;
8190;Politecnico;26/01/2011;Miercoles;26;1;2011;35.0;59.0;64.0;8.0;4.0
8197;Viveros;27/01/2011;Jueves;27;1;2011;18.0;5.0;36.0;31.0;4.0
8200;Moli del Sol;28/01/2011;Viernes;28;1;2011;4.0;40.0;62.0;12.0;6.0
8201;Pista Silla;28/01/2011;Viernes;28;1;2011;27.0;64.0;58.0;13.0;3.0
8202;Politecnico;28/01/2011;Viernes;28;1;2011;14.0;84.0;66.0;16.0;4.0
8203;Viveros;28/01/2011;Viernes;28;1;2011;20.0;30.0;53.0;9.0;6.0
8206;Moli del Sol;29/01/2011;Sabado;29;1;2011;3.0;4.0;25.0;49.0;5.0
8207;Pista Silla;29/01/2011;Sabado;29;1;2011;18.0;11.0;26.0;48.0;5.0
