Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Oli / Aceite;objectid;Estat / Estado;geo_shape;geo_point_2d
VIA PUBLICA;;C/ SAGUNT - C/ HORT D'EN VICENT;05;052;1;1297;Instalado;"{""coordinates"": [-0.3744708158604005, 39.48553564929758], ""type"": ""Point""}";39.48553564929758, -0.3744708158604005
VIA PUBLICA;;GV MARQUÉS DEL TÚRIA - C/ CISCAR;02;023;1;1300;Instalado;"{""coordinates"": [-0.3667876827002672, 39.46758168380394], ""type"": ""Point""}";39.46758168380394, -0.3667876827002672
VIA PUBLICA;;C/ FRANCO TORMO, FRT. 3;08;081;1;1303;Instalado;"{""coordinates"": [-0.3899877702532157, 39.45810817020804], ""type"": ""Point""}";39.45810817020804, -0.3899877702532157
VIA PUBLICA;;AV JACINTO BENAVENTE - C/ BORRIANA;02;023;1;1306;Instalado;"{""coordinates"": [-0.3631924265835391, 39.46671932754078], ""type"": ""Point""}";39.46671932754078, -0.3631924265835391
VIA PUBLICA;;AV BLASCO IBÁÑEZ - C/ RAMON LLUL;13;134;1;1307;Instalado;"{""coordinates"": [-0.34821398379489565, 39.474470224406986], ""type"": ""Point""}";39.474470224406986, -0.34821398379489565
VIA PUBLICA;;AV JOAN XXIII - C/ FRANCISCO COMES MARTINEZ (DRAMATURG);16;161;1;1318;Instalado;"{""coordinates"": [-0.3836765075014651, 39.49488198263231], ""type"": ""Point""}";39.49488198263231, -0.3836765075014651
VIA PUBLICA;;C/ SANTIAGO RUSIÑOL - C/ SANT JOAN BOSCO;15;151;1;1330;Instalado;"{""coordinates"": [-0.36938586954537383, 39.49693129659259], ""type"": ""Point""}";39.49693129659259, -0.36938586954537383
VIA PUBLICA;;C/ FRAY PERE VIVES - C/ BILBAO;05;055;1;1334;Instalado;"{""coordinates"": [-0.37281018451513004, 39.486863560548606], ""type"": ""Point""}";39.486863560548606, -0.37281018451513004
VIA PUBLICA;;C/ SERRADORA - C/ FELIPE SALVADOR;12;121;1;1339;Instalado;"{""coordinates"": [-0.3381636117277112, 39.46232087718082], ""type"": ""Point""}";39.46232087718082, -0.3381636117277112
VIA PUBLICA;;C/ POETA BODRIA, 10;05;053;1;1344;Instalado;"{""coordinates"": [-0.3724990286112711, 39.481250854459866], ""type"": ""Point""}";39.481250854459866, -0.3724990286112711
VIA PUBLICA;;C/ AIORA - C/ XIVA;08;081;1;1347;Instalado;"{""coordinates"": [-0.39217749952971814, 39.46637134905663], ""type"": ""Point""}";39.46637134905663, -0.39217749952971814
VIA PUBLICA;;C/ NAVARRO CABANES - C/ RACÓ D'ADEMÚS;07;071;1;1349;Instalado;"{""coordinates"": [-0.40279913776282134, 39.470946972195065], ""type"": ""Point""}";39.470946972195065, -0.40279913776282134
VIA PUBLICA;;C/ DEMOCRÀCIA, 85;07;072;1;1352;Instalado;"{""coordinates"": [-0.4059825883972826, 39.472463181372866], ""type"": ""Point""}";39.472463181372866, -0.4059825883972826
VIA PUBLICA;;C/ VICENT VIDAL (CRONISTA), 2;12;123;1;1355;Instalado;"{""coordinates"": [-0.34836655210385997, 39.461467645207506], ""type"": ""Point""}";39.461467645207506, -0.34836655210385997
VIA PUBLICA;;C/ COSTA I BORRÀS - C/ JERONIMA GALES (IMPRESSORA);09;092;1;1367;Instalado;"{""coordinates"": [-0.3892825184499628, 39.45500138985643], ""type"": ""Point""}";39.45500138985643, -0.3892825184499628
VIA PUBLICA;;AV PÉREZ GALDÓS, 47;08;081;1;1369;Instalado;"{""coordinates"": [-0.38975855021192574, 39.46628908826019], ""type"": ""Point""}";39.46628908826019, -0.38975855021192574
VIA PUBLICA;;AV PRIMER DE MAIG - C/ JERONIMA GALES (IMPRESSORA);09;092;1;1370;Instalado;"{""coordinates"": [-0.3928513911081375, 39.449836852431304], ""type"": ""Point""}";39.449836852431304, -0.3928513911081375
VIA PUBLICA;;AV DOCTOR TOMAS SALA, 18 acc;09;094;1;1372;Instalado;"{""coordinates"": [-0.38881458499882404, 39.44650677074238], ""type"": ""Point""}";39.44650677074238, -0.38881458499882404
VIA PUBLICA;;C/ SANT VICENT MARTIR, 219;09;091;1;1377;Instalado;"{""coordinates"": [-0.383869419712076, 39.45573866337218], ""type"": ""Point""}";39.45573866337218, -0.383869419712076
VIA PUBLICA;;C/ SANT VICENT MARTIR - AV DOCTOR TOMÀS SALA;09;094;1;1378;Instalado;"{""coordinates"": [-0.38686169579470253, 39.446865696487116], ""type"": ""Point""}";39.446865696487116, -0.38686169579470253
