Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
01-MERCADO;MERCADO DE RUZAFA;Entrada per PL. BARÃ¿ DE CORTES;2;021;3;311;;;;ME02;"{""coordinates"": [-0.37165924182715004, 39.46186460925452], ""type"": ""Point""}";39.46186460925452, -0.37165924182715004
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""TRINITAT""";C/. CONVENT DELS CARMELITES,1;5;053;1;312;;;;MA21;"{""coordinates"": [-0.3716713908932543, 39.483665492429836], ""type"": ""Point""}";39.483665492429836, -0.3716713908932543
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""SAN MARCELINO""";C/. SALVADOR PERLES;9;094;1;318;;;;MA13;"{""coordinates"": [-0.389796227110492, 39.44271669173513], ""type"": ""Point""}";39.44271669173513, -0.389796227110492
02-CM_PERSONAS MAYORES;CLUB DE JUBILADOS Y PENSIONISTAS LA ISLA;C/. ALGUER, L', 5;13;131;1;319;;;;MA25;"{""coordinates"": [-0.34111530900799836, 39.4705353083659], ""type"": ""Point""}";39.4705353083659, -0.34111530900799836
04-CENTRO EDUCATIVO;CEIP N 103;C/. ALFRED TORAN I OLMOS (ESCULTOR), 2;12;125;1;324;;;;ED52;"{""coordinates"": [-0.3504528733765317, 39.461150369030165], ""type"": ""Point""}";39.461150369030165, -0.3504528733765317
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""SAN JOSE""";PG. FACULTATS, 8 B;13;135;1;327;;;;MA27;"{""coordinates"": [-0.3473820310579061, 39.477672260875], ""type"": ""Point""}";39.477672260875, -0.3473820310579061
04-CENTRO EDUCATIVO;COLEGIO JESUS-MARIA;GV FERRAN EL CATÃ¿LIC, 37;3;033;1;328;;;;ED11;"{""coordinates"": [-0.3871187806300474, 39.47264012036855], ""type"": ""Point""}";39.47264012036855, -0.3871187806300474
04-CENTRO EDUCATIVO;CEIP LA FONTETA;C/. MOSSÃ¿N PALANCA, 27;10;104;1;332;;;;ED40;"{""coordinates"": [-0.3655213161320903, 39.44452202639347], ""type"": ""Point""}";39.44452202639347, -0.3655213161320903
05-CENTROS JUVENILES;POLIDEPORTIVO BENIMACLET;C/. DANIEL BALACIART, 8;14;141;1;333;;;;JU06;"{""coordinates"": [-0.35478855122738806, 39.48093886474272], ""type"": ""Point""}";39.48093886474272, -0.35478855122738806
02-CM_PERSONAS MAYORES;CM DE ACTIVIDADES PARA PERSONAS MAYORES REINO DE VALENCIA;C/. DOCTOR MONSERRAT, 17;3;031;1;336;;;;MA39;"{""coordinates"": [-0.38481411449300384, 39.47492839709497], ""type"": ""Point""}";39.47492839709497, -0.38481411449300384
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""TENDETES""";C/. FALUTX, S/N;4;042;1;338;;;;MA19;"{""coordinates"": [-0.3867515101524782, 39.48395184486931], ""type"": ""Point""}";39.48395184486931, -0.3867515101524782
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""ORRIOLS""";C/. SANT JOAN DE LA PENYA, 3;15;151;1;342;;;;MA29;"{""coordinates"": [-0.37057418849296314, 39.496228427864544], ""type"": ""Point""}";39.496228427864544, -0.37057418849296314
00-DEPENDENCIAS MUNICIPALES;JUNTA MUNICIPAL DE CIUTAT VELLA;PL. ALFONS EL MAGNÃ¿NIM (Xalet del Parterre);1;016;1;347;;;;DM01;"{""coordinates"": [-0.3705012096297733, 39.472507779344014], ""type"": ""Point""}";39.472507779344014, -0.3705012096297733
04-CENTRO EDUCATIVO;I.E.S. JOSE BALLESTER GOZALVO;C/. ALEMANY, 39;15;152;1;348;;;;ED36;"{""coordinates"": [-0.3799817090068524, 39.49682929173147], ""type"": ""Point""}";39.49682929173147, -0.3799817090068524
03-ASOCIACION VECINOS;ASOCIACION DE VECINOS FONT D'EN CORTS;CTRA FONT D'EN CORTS, 105;10;106;1;349;;;;AV05;"{""coordinates"": [-0.35822176539429385, 39.445679801583225], ""type"": ""Point""}";39.445679801583225, -0.35822176539429385
00-DEPENDENCIAS MUNICIPALES;CM EMPLEO Y FORMACION;C/. LLEONS, 9;12;121;1;357;;;;DM07;"{""coordinates"": [-0.3486057753040274, 39.465466657918], ""type"": ""Point""}";39.465466657918, -0.3486057753040274
01-MERCADO;MERCADO BENICALAP;C/. MIQUEL SERVET;16;161;1;360;;;;ME09;"{""coordinates"": [-0.39417997292459994, 39.48860592343046], ""type"": ""Point""}";39.48860592343046, -0.39417997292459994
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""PINEDO""";TRAV. PINEDO A LA MAR, 33;19;193;1;363;;;;MA16;"{""coordinates"": [-0.3368047266405436, 39.421657744132744], ""type"": ""Point""}";39.421657744132744, -0.3368047266405436
09-UNIVERSIDAD POPULAR;UP MALVARROSA;AV. MALVA-ROSA, 98;11;113;1;367;;;;UP13;"{""coordinates"": [-0.32793390221576063, 39.48127636236008], ""type"": ""Point""}";39.48127636236008, -0.32793390221576063
09-UNIVERSIDAD POPULAR;UP NOU MOLES-OLIVERETA;C/. TORRES, 12;7;071;1;370;;;;UP03;"{""coordinates"": [-0.39901641150624084, 39.473418846389905], ""type"": ""Point""}";39.473418846389905, -0.39901641150624084
