id;Empresa;objectid;zona;ubicacion;distrito;barrio;geo_shape;geo_point_2d
131;ASOCIACION EL RASTRELL;2350;2;C/ POETA SERRANO CLAVERO - C/ FEDERICO ALCACER AGUILAR (DOCTOR EN MEDICINA);16;161;"{""coordinates"": [-0.3865552709447749, 39.49498229829286], ""type"": ""Point""}";39.49498229829286, -0.3865552709447749
137;ASOCIACION EL RASTRELL;2356;1;AV GASPAR AGUILAR - C/ FORATA;9;092;"{""coordinates"": [-0.3938998387186827, 39.450999237057744], ""type"": ""Point""}";39.450999237057744, -0.3938998387186827
139;ASOCIACION EL RASTRELL;2358;1;C/ ARQUEBISPE OLAECHEA - C/ SANT MARCEL·LÍ;9;094;"{""coordinates"": [-0.39120805446947815, 39.444044539991175], ""type"": ""Point""}";39.444044539991175, -0.39120805446947815
144;ASOCIACION EL RASTRELL;2363;1;C/ COLÓN - C/ SORNÍ;2;022;"{""coordinates"": [-0.37013002862160405, 39.470266128596705], ""type"": ""Point""}";39.470266128596705, -0.37013002862160405
147;ASOCIACION EL RASTRELL;2366;2;AV BLASCO IBÁÑEZ - C/ RAMON LLUL;13;134;"{""coordinates"": [-0.34822404193480844, 39.47445676693231], ""type"": ""Point""}";39.47445676693231, -0.34822404193480844
152;FUNDACION JOSÉ MARÍA HARO-INTRA;2371;2;C/ NAVARRO CABANES - C/ RACÓ D'ADEMÚS;7;071;"{""coordinates"": [-0.4028147362920038, 39.47099234514785], ""type"": ""Point""}";39.47099234514785, -0.4028147362920038
154;FUNDACION JOSÉ MARÍA HARO-INTRA;2373;1;C/ GUILLEM DESPUIG - C/ ROSA ESTRUCH ESPINÓS (POLÍTICA);7;073;"{""coordinates"": [-0.39891302576431126, 39.46466383243557], ""type"": ""Point""}";39.46466383243557, -0.39891302576431126
162;FUNDACION JOSÉ MARÍA HARO-INTRA;2381;1;C/ SALVADOR SASTRE - GV RAMON Y CAJAL;3;034;"{""coordinates"": [-0.3806768767548811, 39.463727619223576], ""type"": ""Point""}";39.463727619223576, -0.3806768767548811
163;FUNDACION JOSÉ MARÍA HARO-INTRA;2382;1;GV GERMANIES - C/ SUECA;2;021;"{""coordinates"": [-0.37661663816059154, 39.46346981396072], ""type"": ""Point""}";39.46346981396072, -0.37661663816059154
168;FUNDACION JOSÉ MARÍA HARO-INTRA;2387;3;AV AUSIÀS MARCH - AV PLATA;10;102;"{""coordinates"": [-0.3723822920129044, 39.452706553611996], ""type"": ""Point""}";39.452706553611996, -0.3723822920129044
195;FUNDACION JOSÉ MARÍA HARO-INTRA;2392;3;PL ESGLÉSIA DELS ÀNGELS;11;112;"{""coordinates"": [-0.33181892759745213, 39.47237814604898], ""type"": ""Point""}";39.47237814604898, -0.33181892759745213
